308, 82         302, 82
308 ,81         302, 81
308 ,80         304, 81
308 ,79         301, 79
308 ,78         302, 78 
308,77          305,77 
308,76          304,76
308,75          302,75
308,74          303,74
309,82          301,81
309,81          302,81
309,80          303,80
309,79          305,79
309,78          302,79
309,77          301,78 
309,76          304,76 
309,75          304,75 
309,74          304,74 
256,26          256,25
256,27          256,25
256,28          256,25
255,27          256,25
257,27          256,25
240,88 239,88
241,88 239,88
241,89 239,88
240,89 239,88
289,3   289,4
357,185  356,186
